hora_dia,zona_incidente,urgencia,es_punta,carga_zona,distancia_km,tiempo_inteligente_est,tiempo_ciego_est,tiempo_extra_est,pct_extra_est
11.241785382528082,norte,media,0,0,8.713,8.59,12.779270122052118,4.189270122052118,48.769151595484495
9.654339247072038,centro,leve,1,3,1.728,8.77,13.04705459492399,4.277054594923991,48.7691515954845
11.61922134525173,centro,media,0,2,1.803,5.13,7.631857476848355,2.501857476848355,48.7691515954845
13.807574641020064,sur,grave,0,1,7.602,7.4,11.008917218065854,3.6089172180658533,48.7691515954845
9.414616563191661,este,media,1,2,2.585,5.81,8.643487707697648,2.833487707697649,48.769151595484495
9.41465760762705,este,media,1,2,1.95,4.28,6.367319688286737,2.087319688286737,48.76915159548451
13.948032038768478,este,media,0,0,6.099,9.42,14.01405408029464,4.59405408029464,48.7691515954845
11.918586822882272,sur,leve,0,0,8.203,12.59,18.730036185871498,6.140036185871498,48.769151595484495
8.82631403516262,este,media,1,2,5.879,10.5,15.620760917525871,5.120760917525871,48.76915159548448
11.356400108964912,centro,media,0,2,3.602,6.07,9.03028750184591,2.96028750184591,48.76915159548451
8.841455767968844,oeste,leve,1,1,5.341,8.6,12.794147037211665,4.194147037211666,48.76915159548449
8.835675616074358,centro,grave,1,1,2.375,6.62,9.848517835621074,3.2285178356210738,48.769151595484495
10.604905678915085,centro,media,0,5,4.037,7.89,11.737886060883726,3.8478860608837264,48.769151595484495
5.216799388355505,centro,grave,0,7,6.37,11.26,16.751406469651553,5.491406469651553,48.76915159548448
5.687705418717418,oeste,grave,0,4,4.389,4.14,6.159042876053058,2.0190428760530583,48.76915159548451
8.594281176897567,oeste,leve,1,2,3.474,5.46,8.122795677113453,2.6627956771134533,48.769151595484495
7.46792219916394,este,media,0,2,2.88,6.06,9.01541058668636,2.9554105866863596,48.76915159548448
10.785618331488184,sur,media,0,2,4.807,8.55,12.719762461413925,4.169762461413924,48.76915159548449
7.729939811196973,norte,leve,0,0,7.12,7.75,11.529609248650049,3.7796092486500488,48.7691515954845
6.469240746661772,oeste,grave,0,2,2.1,4.15,6.173919791212607,2.023919791212607,48.769151595484495
13.664121922303885,sur,grave,0,2,8.651,7.47,11.11305562418269,3.643055624182691,48.76915159548448
9.435559248783662,oeste,media,1,1,7.349,14.23,21.169850272037444,6.939850272037443,48.76915159548449
10.16882051171981,centro,media,0,6,1.425,7.35,10.93453264226811,3.58453264226811,48.769151595484495
6.438129534466358,centro,leve,0,4,2.06,5.56,8.271564828708938,2.711564828708938,48.7691515954845
8.639043188687044,este,media,1,1,4.975,8.69,12.928039273647602,4.238039273647603,48.7691515954845
10.277306474274665,centro,grave,0,3,3.0,4.58,6.81362714307319,2.23362714307319,48.769151595484495
7.122516056444243,oeste,media,0,2,6.949,8.75,13.017300764604894,4.267300764604894,48.7691515954845
10.93924504586418,norte,media,0,1,6.1,7.72,11.484978503171403,3.7649785031714034,48.7691515954845
8.498403275202987,oeste,grave,1,2,9.717,13.65,20.306989192783632,6.656989192783632,48.76915159548448
9.270765625516809,centro,media,1,4,2.769,9.16,13.62725428614638,4.46725428614638,48.769151595484495
8.495733469426508,sur,media,1,1,4.562,6.42,9.550979532430105,3.1309795324301053,48.76915159548451
