hora_dia,dia_semana,mes,es_finde,es_punta,urgencia,zona_incidente,base_nombre,base_zona,distancia_km,carga_zona,unidades_libres,tiempo_real_min,urgencia_cod,zona_cod,base_zona_cod,hora_sin,hora_cos
11.241785382528082,4,11,0,0,media,norte,A033 Campanar,centro,8.713,0,3,8.59,1,1,0,0.19719912824224414,-0.9803634549596894
9.654339247072038,1,3,0,1,leve,centro,B036 Arabista,centro,1.728,3,2,8.77,0,0,0,0.5762171030353029,-0.81729667206566
11.61922134525173,1,1,0,0,media,centro,A013 Sagunto,norte,1.803,2,3,5.13,1,0,1,0.09952259108633278,-0.9950353028227001
13.807574641020064,1,1,0,0,grave,sur,B036 Arabista,centro,7.602,1,2,7.4,2,2,0,-0.45575650429205883,-0.8901044931891325
9.414616563191661,2,8,0,1,media,este,A032 Alfahuir,norte,2.585,2,2,5.81,1,3,1,0.6263419583622891,-0.7795484277419156
9.41465760762705,1,8,0,1,media,este,A013 Sagunto,norte,1.95,2,3,4.28,1,3,1,0.626333581760173,-0.7795551579968365
13.948032038768478,0,5,0,0,media,este,B043 Quart,oeste,6.099,0,1,9.42,1,3,4,-0.488171657086333,-0.8727476343236822
11.918586822882272,5,5,1,0,leve,sur,A041 General,centro,8.203,0,0,12.59,0,2,0,0.02131230620563006,-0.9997728670074005
8.82631403516262,6,5,1,1,media,este,A053 Manises,oeste,5.879,2,1,10.5,1,3,4,0.7385175882068004,-0.6742342114645407
11.356400108964912,2,8,0,0,media,centro,B035 Peset,centro,3.602,2,0,6.07,1,0,0,0.16769792376016135,-0.9858384281242698
8.841455767968844,2,1,0,1,leve,oeste,B043 Quart,oeste,5.341,1,2,8.6,0,4,4,0.7358390632632261,-0.6771564612228831
8.835675616074358,0,11,0,1,grave,centro,B043 Quart,oeste,2.375,1,1,6.62,2,0,4,0.7368629207721931,-0.6760421850676721
10.604905678915085,4,4,0,0,media,centro,B031 Nazaret,este,4.037,5,3,7.89,1,0,3,0.3571686534921709,-0.9340399097268755
5.216799388355505,5,12,1,0,grave,centro,A053 Manises,oeste,6.37,7,3,11.26,2,0,4,0.9790525477228997,0.20360773265595564
5.687705418717418,0,3,0,0,grave,oeste,B051 Massamagrell,norte,4.389,4,2,4.14,2,4,1,0.9966596327042845,0.08166747539725183
8.594281176897567,0,9,0,1,leve,oeste,B036 Arabista,centro,3.474,2,1,5.46,0,4,0,0.7780872987590507,-0.6281561553545773
7.46792219916394,5,4,1,0,media,este,A053 Manises,oeste,2.88,2,2,6.06,1,3,4,0.927060672178677,-0.3749113363178281
10.785618331488184,4,2,0,0,media,sur,A013 Sagunto,norte,4.807,2,3,8.55,1,2,1,0.312595629907669,-0.9498862943334995
7.729939811196973,0,11,0,0,leve,norte,A053 Manises,oeste,7.12,0,2,7.75,0,1,4,0.8991831501204943,-0.43757246547215983
6.469240746661772,4,10,0,0,grave,oeste,B031 Nazaret,este,2.1,2,0,4.15,2,4,3,0.9924637994298139,-0.12253818515604871
13.664121922303885,1,6,0,0,grave,sur,B043 Quart,oeste,8.651,2,0,7.47,2,2,4,-0.4220143744067818,-0.906589139463987
